#  OC            ra_h ra_d ra_s dec_h dec_d dec_s l	 b     Dsun  modV  E(B-V)  logAGE  [Fe/H] V(RC)
 Collinder74	 05 48 30  +07 24 00  199.031 -10.389  2510  13.18  0.38    9.11     nan    14	
 Berkeley21	 05 51 42  +21 47 00  186.840  -2.509  5000  15.85  0.76    9.342  -0.54   16.5  
 NGC2112	 05 53 45  +00 24 36  205.872 -12.615	940  11.60  0.63    9.225   0.16   nan	
 Czernik24	 05 55 27  +20 52 59  188.059  -2.211  4100  14.74  0.54    9.25   -0.41   15.5  
 NGC2141	 06 02 55  +10 26 48  198.044  -5.810  3800  13.80  0.250   9.398   0.00   15	
 Berkeley73	 06 22 00  -06 21 00  215.278  -9.424  9800  14.5   0.10    9.176  -0.22   nan	
 NGC2243	 06 29 34  -31 17 00  239.478 -18.014  3450  13.40  0.051   9.603  -0.48   13.7  
 Trumpler5	 06 36 42  +09 26 00  202.865	1.050  3000  14.18  0.58    9.61     nan    14.75 
 Collinder110	 06 38 24  +02 01 00  209.649  -1.978  1950  13.00  0.50    9.230   0.03   14	
 Berkeley25	 06 41 16  -16 29 12  226.61   -9.69  11400  15.79  0.17    9.699  -0.20   16.5  
 Berkeley75	 06 48 59  -23 59 30  234.30  -11.12   9100  15.20  0.08    9.603  -0.22   15.75 
 Berkeley27	 06 51 18  +05 46 00  207.780	2.595  5035  14.25  0.05    9.30     nan    15.5  
 Tombaugh1	 07 00 29  -20 34 00  232.334  -7.314  3000  13.63  0.40    9.00     nan    14	
 Tombaugh2	 07 03 05  -20 49 00  232.832  -6.880  7900  12.81  0.08    9.301  -0.28   16	
 Berkeley31	 06 57 36  +08 16 00  206.254	5.120  7500  14.84  0.080   9.500  -0.57   15	
 Haffner8	 07 23 24  -12 20 00  227.533	1.345  1182  10.46  0.03    9.15   +0.06   12.5  
 NGC2425	 07 38 22  -14 52 54  231.50	3.31   3400  13.62  0.31    9.40     nan    14.25 
 NGC2516	 07 58 04  -60 45 12  273.816 -15.856	303   8.37  0.101   8.315  +0.05    7	
 NGC2509	 08 00 48  -19 03 06  237.840	5.848	912  10.29  0.15    9.90     nan    13	
 Trumpler20	 12 39 34  -60 37 00  301.475	2.221  2420  12.37  0.26    8.20     nan    15	
 NGC2658	 08 43 27  -32 39 30  254.555	6.070  2021  11.66  0.043   9.152    nan    13.3  
 Pismis18	 13 36 55  -62 05 36  308.226	0.310  2240  13.30  0.50    9.08     nan    14.25 
 NGC6005	 15 55 48  -57 26 12  325.780  -2.986  2690  13.54  0.45    9.08     nan    14	
 NGC6583	 18 15 49  -22 08 12	9.283  -2.534  2040  13.5   0.51    9.00     nan    14.5  
 NGC6259	 17 00 45  -44 39 18  341.998  -1.517  1031  11.61  0.498   8.336   0.02   12.5  
 NGC2354	 07 14 10  -25 41 24  238.368  -6.792  4085  14.01  0.307   8.126    nan    11.5  
 NGC6705/m11     18 51 05  -06 16 12   27.307  -2.776  1877  12.69  0.426   8.302  +0.13   12.0
 NGC2355         07 16 59  +13 45 00  203.390  11.803  2200  12.08  0.12    8.85   -0.07   12.6
 NGC3532         11 05 39  -58 45 12  289.571   1.347   486   8.55  0.037   8.492  -0.02    8.0
 NGC1817         05 12 15  +16 41 24  186.156 -13.096  1972  12.51  0.334   8.612  -0.14   12.25
 NGC2477         07 52 10  -38 31 48  253.563  -5.838  1222  11.30  0.279   8.848   0.01   12.2S
 NGC2158	 06 07 25  +24 05 48  186.634	1.781  3600  14.64  0.360   9.30   -0.03   15.25
 NGC2225	 06 26 36  -09 38 18  218.780  -9.860  3200  13.60  0.35    9.10     nan    14.75
 Czernik26	 06 30 58  -04 11 00  214.336  -6.456  6700  14.30  0.05    9.11     nan    nan 
 NGC2262	 06 39 38  +01 08 36  210.567  -2.104  3600  14.50  0.55    9.00     nan    16   
 Berkeley36	 07 16 06  -13 06 00  227.376  -0.587  6140  15.30  0.40    9.50     nan    16   
 Haffner10	 07 28 36  -15 23 00  230.817	1.007  3700  15.21  0.52    9.40     nan    15.25
 Czernik30	 07 31 18  -09 58 00  226.369	4.173  6200  14.80  0.26    9.40     nan    nan  
 NGC2420	 07 38 23  +21 34 24  198.107  19.634  3085  12.54  0.029   9.048  -0.05   12.4 
 Berkeley39	 07 46 42  -04 36 00  223.462  10.095  4780  13.77  0.12    9.90   -0.17   14.5 
 Ruprecht61	 08 25 17  -34 09 00  253.496	2.136	840  13.85  0.30    9.11     nan    14.5 
 Pismis3	 08 31 22  -38 39 00  257.865	0.502  1394  14.75  1.300   9.027    nan    15   
 Ruprecht75	 09 21 55  -56 19 00  276.788  -4.481  4300  13.91  0.24    9.15     nan    14   
 Pismis15	 09 34 45  -48 02 00  272.493	2.869  4690  14.00  0.53    9.10     nan    15   
 ESO092-05	 10 03 14  -64 45 12  286.185  -7.502 10900  15.71  0.17    9.78   -0.7    16.5 
 Loden165	 10 34 42  -58 39 00  285.935  -0.365  1900  12.17  0.25    9.48     nan    13   
 Melotte105	 11 19 42  -63 29 00  292.904  -2.412  2208  13.21  0.482   8.316    nan    12   
  NGC5316	 13 53 57  -61 52 06  310.229	0.115  1215  11.25  0.267   8.202    nan     9.5 
 Trumpler23	 16 00 50  -53 31 23  328.861  -0.468  2200  14.35  0.85    9.00     nan    15   
 Ruprecht134	 17 52 43  -29 33 00	0.270  -1.643  3400  14.21  0.50    9.00     nan    15.5 
  Berkeley44	 19 17 12  +19 33 00   53.212	3.354  1800  15.62  1.40    9.11     nan    16.5 
 NGC3680	 11 25 38  -43 14 36  286.764  16.919	935  10.07  0.066   9.25   -0.04   11   
 NGC4349	 12 24 08  -61 52 18  299.719	0.830  2176  12.88  0.384   8.315  -0.04   11.5 
 NGC4815	 12 57 59  -64 57 36  303.625  -2.097  3079  14.95  0.808   8.369    nan    13.9 
 Haffner11       07 35 25  -27 43 00  242.395 -3.544   6100  15.69  0.57    8.70     nan    15	
 Praesepe        08 40 24  +19 40 00  205.920 32.484	187   6.39  0.009   8.863  +0.14    6.5
 Berkeley30      06 57 42  +03 13 00  210.780  2.858   4790  14.95  0.50    8.48     nan    14.25
 Czernik30       07 31 18  -09 58 00  226.369 4.173    6200  14.77  0.26    9.40     nan    15.0  
 NGC6716         18 54 34  -19 54 06   15.395 -9.593    789  10.17  0.220   7.961    nan     nan 
 NGC2374         07 23 56  -13 15 48  228.415 1.020    1468  11.11  0.090   8.463    nan    10.5  
 Berkeley22	 05 58 24  +07 50 00  199.877  -8.079  5750  16.59  0.700   9.380  -0.30   16.75 
 Berkeley34	 07 00 24  -00 15 00  213.731	2.108  7280  15.80  0.45    9.45     nan    16.9 
 Auner1 	 07 04 16  -19 45 00  231.997  -6.155  8900  15.74  0.32    9.51     nan    16.75
 Saurer1	 07 18 18  +01 53 12  214.686	7.388 13200  15.97  0.12    9.699  -0.38   17   
 Pismis2	 08 17 54  -41 40 00  258.851  -3.338  3310  12.75  0.05    9.06     nan    17.4 
 Saurer2	 08 25 28  -39 38 00  257.988  -1.008  4700  17.20  1.24    9.40     nan    18   
 Saurer3	 10 41 25  -55 18 18  285.085	3.019  8830  16.65  0.62    9.45     nan    17.5 
 Arp-Madore2	 07 38 46  -33 50 36  248.125  -5.876 13341  14.39  0.570   9.335    nan    18.8 
 Pismis19	 14 30 40  -60 53 00  314.712  -0.302  2400  16.40  1.45    9.00     nan    17.25
 Berkeley81	 19 01 36  -00 31 00   34.505  -2.068  3000  15.49  1.00    9.00     nan    16.75
